id,venue_name,category,subcategory,byob_policy,partner_status,partner_tier,website,email,phone,instagram,facebook,capacity_min,capacity_max,price_range,indoor_outdoor,location_area,event_types,notes,contact_status,last_contacted
1,Chateau Bellevue (Austin Woman's Club),Historic & Cultural,Historic mansion,Allows client-supplied alcohol with TABC/insured bartenders,none,,,,,,,,,,$$$,Indoor,Central Austin,"Weddings,Corporate,Social",,not_started,
2,The Allan House,Historic & Cultural,Victorian house,Open vendor policy; BYO alcohol with licensed bartenders,none,,,,,,,,,,$$$,Both,Central Austin,"Weddings,Corporate",,not_started,
3,The Caswell House,Historic & Cultural,Historic home,Bring your own alcohol; TABC bartender required,none,,,,,,,,,,$$$,Both,Central Austin,"Weddings,Corporate",,not_started,
4,Neill-Cochran House Museum,Historic & Cultural,Museum/mansion,No bar service; BYOB with licensed caterer/bartender,none,,,,,,,,,,$$,Indoor,Central Austin,"Weddings,Corporate,Social",,not_started,
5,French Legation,Historic & Cultural,Historic site,Private rentals allow outside alcohol with bartender & permits,none,,,,,,,,,,$$,Both,East Austin,"Weddings,Corporate",,not_started,
6,Texas Science & Natural History Museum (UT),Historic & Cultural,Museum,BYO allowed; all alcohol must be served by TABC-licensed staff,none,,,,,,,,,,$$$,Indoor,UT/Campus,"Corporate,Social,Galas",,not_started,
7,Thinkery,Historic & Cultural,Museum,Outside catering & alcohol; BYOB with certified bartenders,none,,,,,,,,,,$$,Indoor,Mueller,"Corporate,Kids Parties,Social",,not_started,
8,Scottish Rite Theater,Historic & Cultural,Theater,No in-house bar; BYOB with licensed bartenders for events,none,,,,,,,,,,$$,Indoor,Central Austin,"Corporate,Galas,Social",,not_started,
9,Austin Central Library,Historic & Cultural,Library event spaces,City venue; alcohol allowed by permit (BYOB no sales),none,,,,,,,,,,$,Indoor,Downtown,"Corporate,Social",,not_started,
10,Carver Museum & Cultural Center,Historic & Cultural,Museum/cultural center,City venue; alcohol by permit; client-supplied beverages,none,,,,,,,,,,$,Indoor,East Austin,"Corporate,Social,Cultural",,not_started,
11,Lady Bird Johnson Wildflower Center,Gardens & Outdoor,Botanical garden,BYOB permitted; TABC bartenders required,none,,,,,,,,,,$$$,Outdoor,South Austin,"Weddings,Corporate,Galas",,not_started,
12,UMLAUF Sculpture Garden & Museum,Gardens & Outdoor,Sculpture garden,BYO permitted; licensed server required,none,,,,,,,,,,$$,Outdoor,Zilker,"Weddings,Corporate,Social",,not_started,
13,Laguna Gloria (The Contemporary Austin),Gardens & Outdoor,Villa & art museum,Allows outside alcohol vendors; BYO friendly,none,,,,,,,,,,$$$,Both,West Austin,"Weddings,Corporate,Galas",,not_started,
14,Mayfield Park Cottage,Gardens & Outdoor,Historic cottage/garden,City venue; alcohol by permit; BYOB (no sales),none,,,,,,,,,,$,Outdoor,West Austin,"Weddings,Social",,not_started,
15,Zilker Botanical Garden,Gardens & Outdoor,Garden & auditorium,City venue; alcohol by permit; BYOB,none,,,,,,,,,,$$,Outdoor,Zilker,"Weddings,Corporate,Social",,not_started,
16,Zilker Park Clubhouse,Gardens & Outdoor,Stone clubhouse,City venue; BYOB only with permit; no alcohol sales,none,,,,,,,,,,$,Both,Zilker,"Social,Parties",,not_started,
17,The Sanctuary Event Space,Gardens & Outdoor,Outdoor event space,BYOB; zero corkage/bar fees; TABC servers required,none,,,,,,,,,,$$,Outdoor,South Austin,"Weddings,Social",,not_started,
18,Hummingbird House,Gardens & Outdoor,Garden venue,BYOB facility; clients supply alcohol; approved bar staff serve,none,,,,,,,,,,$$$,Outdoor,South Austin,Weddings,,not_started,
19,Sekrit Theater,Gardens & Outdoor,Outdoor/greenhouse,Known BYOB; bring your own beverages with TABC service,none,,,,,,,,,,$$,Outdoor,East Austin,"Weddings,Social,Unique",,not_started,
20,Addison Grove,Gardens & Outdoor,Farm/barn,Allows outside beverages; BYOB with licensed bartenders,none,,,,,,,,,,$$$,Both,Manor,"Weddings,Corporate",,not_started,
21,Brodie Homestead,Rustic Barns & Ranch,Restored barn,Clients often bring their own alcohol; TABC bartender required,none,,,,,,,,,,$$$,Both,South Austin,Weddings,,not_started,
22,Pecan Springs Ranch,Rustic Barns & Ranch,Ranch venue,Explicitly allows BYO alcohol; open vendor policy,current,featured,,,,,,,,,$$$,Both,East Austin,Weddings,CURRENT PARTNER,active,
23,Star Hill Ranch,Rustic Barns & Ranch,Western village,BYO permitted with licensed servers; saloon-style bar for service,none,,,,,,,,,,$$$,Both,Bee Cave,"Weddings,Corporate",,not_started,
24,Villa Antonia,Rustic Barns & Ranch,Hill country villa,BYO permitted; bartenders must be TABC & insured,none,,,,,,,,,,$$$,Both,Lago Vista,Weddings,,not_started,
25,The Grand Lady,Rustic Barns & Ranch,Victorian mansion,Open vendors; BYOB with professional bartending,none,,,,,,,,,,$$$,Both,South Austin,Weddings,,not_started,
26,The Vista on Seward Hill,Rustic Barns & Ranch,Villa/garden,FAQ: BYO alcohol is allowed; margarita machine available,none,,,,,,,,,,$$$,Both,West Austin,Weddings,,not_started,
27,Antebellum Oaks (Bella Oaks),Rustic Barns & Ranch,Wooded venue,BYOB commonly permitted with approved bartenders,none,,,,,,,,,,$$$,Outdoor,Austin,Weddings,,not_started,
28,Saengerrunde Hall,Rustic Barns & Ranch,Historic dance hall,BYOB for events; renters supply drinks and bar staff,none,,,,,,,,,,$$,Indoor,Central Austin,"Weddings,Social,Cultural",,not_started,
29,Pioneer Farms,Rustic Barns & Ranch,Historic farm/barn,BYO allowed; renter supplies alcohol & licensed bartender,none,,,,,,,,,,$$,Both,North Austin,"Weddings,Corporate,Social",,not_started,
30,Ranch Austin,Rustic Barns & Ranch,Barn venue,BYOB with licensed insured bartending; no in-house bar,none,,,,,,,,,,$$$,Both,Driftwood,Weddings,,not_started,
31,Vuka - North Loop,Modern & Industrial,Warehouse/cowork,Confirmed BYOB allowed (outside alcohol),none,,,,,,,,,,$$,Indoor,North Loop,"Corporate,Social,Parties",,not_started,
32,Gather on Monroe (Vuka Bouldin),Modern & Industrial,Urban venue,BYO-friendly; own alcohol or choose bar packages,none,,,,,,,,,,$$,Indoor,South Austin,"Corporate,Social",,not_started,
33,Peached Social House,Modern & Industrial,Modern event space,BYOB option; bring your own alcohol with their bar staff,none,,,,,,,,,,$$,Indoor,East Austin,"Weddings,Corporate,Social",,not_started,
34,Springdale Station,Modern & Industrial,Historic station,No liquor license; BYOB via third-party bar service,none,,,,,,,,,,$$,Both,East Austin,"Weddings,Corporate,Social",,not_started,
35,Fair Market,Modern & Industrial,Industrial hall,Blank-slate; renters bring all F&B; BYOB standard,none,,,,,,,,,,$$$,Indoor,East Austin,"Weddings,Corporate,Galas",,not_started,
36,Distribution Hall,Modern & Industrial,Warehouse,No in-house bar; BYOB allowed with licensed vendor,none,,,,,,,,,,$$,Indoor,East Austin,"Corporate,Social,Parties",,not_started,
37,The Riley Building,Modern & Industrial,Loft + rooftop,Unlicensed; clients provide alcohol via bar caterer,none,,,,,,,,,,$$$,Both,Downtown,"Weddings,Corporate",,not_started,
38,The Commune,Modern & Industrial,Creative studio,BYOB for private events; renter supplies beverages,none,,,,,,,,,,$,Indoor,East Austin,"Social,Parties,Creative",,not_started,
39,Trinity Hall,Modern & Industrial,Downtown venue,All catering/bar brought in; BYOB permitted,none,,,,,,,,,,$$,Indoor,Downtown,"Corporate,Social",,not_started,
40,800 Congress,Modern & Industrial,Event loft,No alcohol sales; BYOB with caterer's bartenders,none,,,,,,,,,,$$$,Indoor,Downtown,"Weddings,Corporate,Galas",,not_started,
41,Asian American Resource Center,Public & Community,City facility,Alcohol by permit; BYOB only (no sales),none,,,,,,,,,,$,Indoor,North Austin,"Cultural,Social",,not_started,
42,ESB-MACC,Public & Community,City cultural center,Alcohol by permit; BYOB with TABC server,none,,,,,,,,,,$,Indoor,East Austin,"Cultural,Social",,not_started,
43,George Washington Carver Cultural Center,Public & Community,City facility,Alcohol by permit; BYOB (private events),none,,,,,,,,,,$,Indoor,East Austin,"Cultural,Social",,not_started,
44,Dougherty Arts Center,Public & Community,City arts center,BYOB with permit; outside catering/bar only,none,,,,,,,,,,$,Indoor,Central Austin,"Social,Arts",,not_started,
45,Fiesta Gardens,Public & Community,City event complex,BYOB with permit; renters supply all beverages,none,,,,,,,,,,$,Outdoor,East Austin,"Social,Parties,Cultural",,not_started,
46,Zilker Park Pavilions & Picnic Sites,Public & Community,City park sites,Permitted alcohol is BYOB only; no sales on-site,none,,,,,,,,,,$,Outdoor,Zilker,"Social,Parties",,not_started,
47,Austin Roller Rink,Entertainment & Activity,Skating rink,Private rink rentals allow BYOB for adult events,none,,,,,,,,,,$,Indoor,South Austin,"Parties,Social,Unique",,not_started,
48,Austin Karaoke (North Lamar),Entertainment & Activity,Karaoke rooms,BYOB; guests bring beer/wine/soju to private rooms,none,,,,,,,,,,$,Indoor,North Austin,"Parties,Social",,not_started,
49,Fallout Theater,Entertainment & Activity,Comedy theater,BYOB ~95% of the time; patrons bring drinks,none,,,,,,,,,,$,Indoor,East Austin,"Social,Comedy,Parties",,not_started,
50,Blue Starlite Drive-In (Downtown),Entertainment & Activity,Boutique drive-in,Downtown location is BYOB; bring coolers,none,,,,,,,,,,$,Outdoor,Downtown,"Social,Unique,Date Night",,not_started,
51,Pedal Pub Austin,Entertainment & Activity,Party bike,BYOB: riders bring beer/wine; operator cannot provide alcohol,none,,,,,,,,,,$,Outdoor,Downtown,"Parties,Bachelor/ette,Social",,not_started,
52,Trolley Pub Austin,Entertainment & Activity,Party bike,BYOB: bring cans of beer/wine onboard,none,,,,,,,,,,$,Outdoor,Downtown,"Parties,Bachelor/ette,Social",,not_started,
53,Austin Pedal Party,Entertainment & Activity,Party bike,Explicit BYOB; bring your own alcohol (no glass),none,,,,,,,,,,$,Outdoor,Downtown,"Parties,Bachelor/ette,Social",,not_started,
54,Hipside Peddler,Entertainment & Activity,Party bike,BYOB; cans/boxed wine/pony keg allowed,none,,,,,,,,,,$,Outdoor,Downtown,"Parties,Bachelor/ette,Social",,not_started,
55,Premier Party Cruises (Lake Travis),Entertainment & Activity,Party boats,All cruises are BYOB; coolers/ice provided,current,premier,,,,,,,,,$$$,Outdoor,Lake Travis,"Weddings,Parties,Corporate,Bachelor/ette",CURRENT PARTNER - TOP TIER,active,
56,Tide Up Boat Rentals,Entertainment & Activity,Pontoon/party boats,BYOB sunset tours & charters; bring your own beverages,none,,,,,,,,,,$$,Outdoor,Lake Travis,"Parties,Social,Date Night",,not_started,
57,ATX Aquafun (Lakeway Marina),Entertainment & Activity,Pontoon rentals,If bringing alcohol it is BYOB; bring your own,none,,,,,,,,,,$$,Outdoor,Lake Travis,"Parties,Social",,not_started,
58,Lone Star Pedal Barge,Entertainment & Activity,Pedal-powered barge,BYOB & BYOF on Lake Travis; bring favorite drinks,none,,,,,,,,,,$,Outdoor,Lake Travis,"Parties,Social,Unique",,not_started,
59,Captain Verde's Party Boats (Lake Austin),Entertainment & Activity,Party boats,BYOB; ice chest on board; bring your drinks,none,,,,,,,,,,$$,Outdoor,Lake Austin,"Parties,Social",,not_started,
60,Painting With a Twist - North Austin,Entertainment & Activity,Art studio,Paint-and-sip; BYOB wine/beer for adult classes,none,,,,,,,,,,$,Indoor,North Austin,"Social,Date Night,Parties",,not_started,
61,Painting With a Twist - South Austin,Entertainment & Activity,Art studio,BYOB; private paint parties welcome beverages,none,,,,,,,,,,$,Indoor,South Austin,"Social,Date Night,Parties",,not_started,
62,CRAFT (Austin),Entertainment & Activity,DIY craft studio,Allows BYOB for adult craft nights & private events,none,,,,,,,,,,$,Indoor,Austin,"Social,Parties",,not_started,
63,Board & Brush (Austin area),Entertainment & Activity,DIY workshop,Typically BYOB; guests bring beer/wine to workshops,none,,,,,,,,,,$,Indoor,Austin,"Social,Date Night,Parties",,not_started,
64,Cafe Monet Art Studio,Entertainment & Activity,Pottery studio,BYOB for adult pottery nights/private parties,none,,,,,,,,,,$,Indoor,Austin,"Social,Date Night,Parties",,not_started,
65,Art by the Glass Studio,Entertainment & Activity,Art studio,BYOB painting parties; bring your own beverages,none,,,,,,,,,,$,Indoor,Austin,"Social,Date Night,Parties",,not_started,
66,Kindred Oaks (Georgetown),Outside Travis County,Wedding estate,BYOB permitted; TABC bartender required,none,,,,,,,,,,$$$,Both,Georgetown,Weddings,,not_started,
67,Texas Old Town (Kyle),Outside Travis County,Venue halls,BYOB allowed; clients handle alcohol/bartenders,none,,,,,,,,,,$$,Both,Kyle,"Weddings,Corporate",,not_started,
68,Kali-Kate (Buda),Outside Travis County,Ranch pavilion,BYOB weddings; client supplies alcohol,none,,,,,,,,,,$$$,Both,Buda,Weddings,,not_started,
69,The Creek Haus (Dripping Springs),Outside Travis County,Retreat venue,BYO included; venue provides bartenders,none,,,,,,,,,,$$$,Both,Dripping Springs,Weddings,,not_started,
70,Vista West Ranch (Dripping Springs),Outside Travis County,Barn venue,BYOB; no corkage; bartenders included,none,,,,,,,,,,$$$,Both,Dripping Springs,Weddings,,not_started,
71,Ma Maison (Dripping Springs),Outside Travis County,Luxury venue,Outside catering & bar; BYO permitted,none,,,,,,,,,,$$$$,Both,Dripping Springs,Weddings,,not_started,
72,Two Wishes Ranch (Lockhart),Outside Travis County,Modern barn,BYOB-friendly; TABC bartending required,none,,,,,,,,,,$$$,Both,Lockhart,Weddings,,not_started,
73,The Vineyards at Chappel Lodge (South Austin/Buda),Outside Travis County,Vineyard estate,Client-supplied alcohol with venue guidelines,none,,,,,,,,,,$$$,Both,Buda,Weddings,,not_started,
